date,equity_call_oi,equity_put_oi,equity_pcr_oi,index_call_oi,index_put_oi,index_pcr_oi,occ_total_oi
2025-07-24,274400765,220816172,0.8047,17335022,18060938,1.0419,531048375
2025-07-25,264109490,212510538,0.8046,17363622,18016407,1.0376,512440500
2025-07-28,270215330,217449105,0.8047,17532183,18259322,1.0415,523906923
2025-07-29,275610447,222046853,0.8057,17831019,18967132,1.0637,534918405
2025-07-30,280852431,226109087,0.8051,18165881,19235471,1.0589,544825537
2025-07-31,285337286,229284674,0.8036,18412290,19194134,1.0425,552704462
2025-08-01,275647310,222675319,0.8078,18780508,19361584,1.0309,536926742
2025-08-04,281985884,227245081,0.8059,19132251,19506149,1.0195,548339724
2025-08-05,287392137,231545594,0.8057,19101288,19759102,1.0344,558272051
2025-08-06,293109951,235455207,0.8033,19356680,20000499,1.0333,568400337
2025-08-07,298484236,239337360,0.8018,19578904,20279534,1.0358,578159683
2025-08-08,288505582,233217037,0.8084,19677028,20148392,1.024,562037976
2025-08-11,295280812,237728495,0.8051,19867253,20306405,1.0221,573685442
2025-08-12,300917909,242252374,0.805,20142885,20590157,1.0222,584419396
2025-08-13,306357120,246950471,0.8061,20492134,20870500,1.0185,595192199
2025-08-14,311980696,251327753,0.8056,20717254,21115490,1.0192,605669748
2025-08-15,264730848,210626006,0.7956,20178013,19610342,0.9719,515680789
2025-08-18,272324508,215610374,0.7917,20390656,19785578,0.9703,528643706
2025-08-19,277133108,220293748,0.7949,20677455,20255213,0.9796,538892353
2025-08-20,282089588,224940903,0.7974,17335790,18809304,1.085,543650820
2025-08-21,286196423,228108276,0.797,17472316,19072582,1.0916,551330054
2025-08-22,278331877,222371505,0.7989,17716452,18975978,1.0711,537887090
2025-08-25,284646240,227243829,0.7983,17862128,19154215,1.0723,549392108
2025-08-26,289455238,231236917,0.7989,18066723,19537277,1.0814,558791095
2025-08-27,294895017,235866330,0.7998,18440979,19770107,1.0721,569474442
2025-08-28,300315412,240097061,0.7995,18624330,19959012,1.0717,579500268
2025-08-29,288828705,231198018,0.8005,18955216,19779202,1.0435,559267610
2025-09-02,294807808,235788146,0.7998,19252447,20078141,1.0429,570422576
2025-09-03,299681964,239997859,0.8008,19406954,20246024,1.0432,579836718
2025-09-04,304754246,244805041,0.8033,19696301,20796387,1.0559,590557528
2025-09-05,297154582,239396113,0.8056,19889103,20644655,1.038,577597247
2025-09-08,303864682,244429580,0.8044,20078217,20799531,1.0359,589693666
2025-09-09,309841170,249736521,0.806,20233164,21135263,1.0446,601471822
2025-09-10,315935947,254358932,0.8051,20629922,21380368,1.0364,612831475
2025-09-11,322066250,259752588,0.8065,20878017,21715705,1.0401,624937430
2025-09-12,314584919,253825168,0.8069,21108763,21683988,1.0273,611735081
2025-09-15,321972927,258678514,0.8034,21474101,22199565,1.0338,624857771
2025-09-16,328094034,263324528,0.8026,22071656,22513316,1.02,636543755
2025-09-17,333718111,268227303,0.8038,19231171,21308683,1.108,642970273
2025-09-18,339232259,273629074,0.8066,19570487,21841217,1.116,654756925
2025-09-19,277972803,214221405,0.7707,17448196,18549036,1.0631,528677640
2025-09-22,287699872,221061187,0.7684,17735995,18859778,1.0634,545846264
2025-09-23,294920357,226679021,0.7686,17974802,19284825,1.0729,559348189
2025-09-24,301539204,231218339,0.7668,18065827,19425716,1.0753,570732832
2025-09-25,308181213,235869823,0.7654,18427843,19865925,1.078,582834494
2025-09-26,298560148,229287459,0.768,18476450,19679658,1.0651,566497880
2025-09-29,306514697,234633058,0.7655,18816855,19808323,1.0527,580266507
2025-09-30,310934749,237448201,0.7637,18732621,19520399,1.0421,587136051
2025-10-01,318214744,241915521,0.7602,18909370,19803082,1.0473,599352254
2025-10-02,324486783,247647239,0.7632,19051388,20064045,1.0532,611768310
2025-10-03,314903912,240850403,0.7648,19388615,20123448,1.0379,595791016
2025-10-06,323325330,246671290,0.7629,19499868,20174873,1.0346,610194420
2025-10-07,329851436,251955602,0.7638,19698631,20529869,1.0422,622561186
2025-10-08,336694843,257032934,0.7634,19848965,20763033,1.0461,634877838
2025-10-09,343250004,261623738,0.7622,19976602,20907741,1.0466,646292885
2025-10-10,333567596,254816445,0.7639,20113135,21161984,1.0521,630197547
2025-10-13,340900251,259094898,0.76,20528069,21473486,1.0461,642555227
2025-10-14,347469036,263373130,0.758,20831987,21891886,1.0509,654081157
2025-10-15,354198434,267901685,0.7564,21228151,22183072,1.045,666024748
2025-10-16,360751418,273337952,0.7577,21574431,22935737,1.0631,679134222
2025-10-17,307799638,228469027,0.7423,20899460,21433902,1.0256,579125643
2025-10-20,316999917,234205104,0.7388,21064635,21638459,1.0272,594423956
2025-10-21,323999154,239574945,0.7394,21459785,21968311,1.0237,607519562
2025-10-22,329824461,244042427,0.7399,18760188,20451734,1.0902,613534271
2025-10-23,336476452,248900049,0.7397,18939519,20710045,1.0935,625486519
2025-10-24,326053344,240933749,0.7389,19097203,20554122,1.0763,607096405
2025-10-27,335879943,246634399,0.7343,19418845,20792780,1.0708,623182799
2025-10-28,342274714,251405498,0.7345,19702427,21102274,1.071,634946288
2025-10-29,348816163,256871812,0.7364,19669361,21145859,1.0751,646968162
2025-10-30,354122431,260497371,0.7356,20038894,21437791,1.0698,656566152
2025-10-31,338379229,248225806,0.7336,20025846,21015316,1.0494,628110877
2025-11-03,345001746,254010627,0.7363,20230697,21203116,1.0481,640918932
2025-11-04,350613188,258664917,0.7378,20995933,21485362,1.0233,652237653
2025-11-05,356645136,262675204,0.7365,21141984,21663985,1.0247,662600782
2025-11-06,362165227,265682176,0.7336,21383463,21893702,1.0239,671598097
2025-11-07,349809011,257514648,0.7362,21451201,21928845,1.0223,651159743
2025-11-10,356457823,261770800,0.7344,21577836,22125157,1.0254,662390542
2025-11-11,361090013,265436962,0.7351,21912253,22325632,1.0189,671229463
2025-11-12,366550734,268898069,0.7336,22096861,22358756,1.0119,680372812
2025-11-13,371675618,272428310,0.733,22354911,22604365,1.0112,689527406
2025-11-14,360426435,264988545,0.7352,22319990,22553164,1.0104,670758488
2025-11-17,368892895,272926531,0.7399,22611319,22980936,1.0163,687889360
2025-11-18,374418689,276346488,0.7381,22950413,23487282,1.0234,697705527
2025-11-19,379052682,279242551,0.7367,19842667,21823540,1.0998,700405176
2025-11-20,384808912,281136019,0.7306,19930888,22281642,1.1179,708625973
2025-11-21,322101225,239367377,0.7431,19255683,20919656,1.0864,602095041
2025-11-24,330821139,244020542,0.7376,19492016,21139858,1.0845,615914609
2025-11-25,336874446,248213412,0.7368,19554784,21436593,1.0962,626519615
2025-11-26,342314404,251868649,0.7358,19761711,21520148,1.089,635898858
2025-11-28,330750516,242942909,0.7345,19598306,21011210,1.0721,614743232
2025-12-01,336586754,247687202,0.7359,19720574,21119103,1.0709,625556868
2025-12-02,341868434,251649540,0.7361,19977761,21415083,1.0719,635351894
2025-12-03,346773209,255383407,0.7365,20152934,21536906,1.0687,644292830
2025-12-04,351708814,259673827,0.7383,20306817,21662951,1.0668,653781584
2025-12-05,344897233,256401375,0.7434,20520872,21556969,1.0505,643805039
2025-12-08,350595502,260654619,0.7435,20854936,21669704,1.0391,654204028
2025-12-09,355638669,264165471,0.7428,21290153,22059100,1.0361,663583330
2025-12-10,359847544,267313306,0.7429,21784593,22306480,1.024,671688857
2025-12-11,364047377,271076535,0.7446,22135320,22575585,1.0199,680268199
2025-12-12,355326762,264591944,0.7446,22393837,22595966,1.009,665338663
2025-12-15,357620159,268754780,0.7515,22695022,22821401,1.0056,672317607
2025-12-16,361490681,271407413,0.7508,23305499,23260291,0.9981,679894509
2025-12-17,366677501,274390559,0.7483,19556648,21343588,1.0914,682348511
2025-12-18,371100676,277591332,0.748,20022761,21647997,1.0812,690744703
2025-12-19,304527895,221598589,0.7277,16362852,16188685,0.9894,559066819
2025-12-22,312325706,225623249,0.7224,16766587,16505157,0.9844,571618966
2025-12-23,316387079,229878383,0.7266,17165079,16903980,0.9848,580733670
2025-12-24,318330440,230988145,0.7256,16904104,16751807,0.991,583376308
2025-12-26,309990136,227196837,0.7329,16987651,16773101,0.9874,571348784
2025-12-29,314135495,230611997,0.7341,17142790,16873621,0.9843,579182748
2025-12-30,317585071,233285110,0.7346,17255732,17132582,0.9929,585682201
2025-12-31,317988742,232440922,0.731,17043220,16665655,0.9778,584567166
2026-01-02,313501285,229463683,0.7319,17181277,16742495,0.9745,577316664
2026-01-05,320769462,234572689,0.7313,17482419,17095576,0.9779,590353168
2026-01-06,327033768,241797412,0.7394,17866733,17496109,0.9793,604630889
2026-01-07,331933430,245928996,0.7409,18126585,17741831,0.9788,614168895
2026-01-08,337483689,249512311,0.7393,18446169,17999829,0.9758,623870156
2026-01-09,331366502,246631282,0.7443,18698652,17919226,0.9583,615043667
2026-01-12,338097990,251611615,0.7442,18878308,18237210,0.966,627252823
2026-01-13,343445946,256367771,0.7465,19367649,18701328,0.9656,638308653
2026-01-14,349223049,262049459,0.7504,19881909,19035505,0.9574,650607908
2026-01-15,355488191,266114672,0.7486,20275579,19426978,0.9581,661768564
2026-01-16,247296443,186811980,0.7554,19265757,17487432,0.9077,471291174
2026-01-20,255281952,193354452,0.7574,19365585,17881222,0.9234,486302059
2026-01-21,262797496,198783102,0.7564,16474538,16702626,1.0138,495133971
2026-01-22,270839731,204648792,0.7556,17008064,17105434,1.0057,509977913
2026-01-23,264696940,200620901,0.7579,17216243,17073983,0.9917,499990902
2026-01-26,272090781,206515876,0.759,17462338,17237630,0.9871,513680925
2026-01-27,279768934,211738057,0.7568,17845144,17543604,0.9831,527278337
2026-01-28,286195561,216533658,0.7566,18061465,17662381,0.9779,538833033
2026-01-29,293060007,221620177,0.7562,18330979,17890444,0.976,551289209
2026-01-30,282844569,213347431,0.7543,18398679,17658060,0.9597,532641829
2026-02-02,289002485,217816421,0.7537,18801550,17854071,0.9496,543876683
2026-02-03,296567427,223842026,0.7548,19035443,18308088,0.9618,558138676
2026-02-04,302684466,228804464,0.7559,19249910,18463543,0.9591,569584234
2026-02-05,310376025,234181187,0.7545,19398642,18848307,0.9716,583196770
2026-02-06,302337909,228257030,0.755,19534150,18735541,0.9591,569260820
2026-02-09,308619795,232852020,0.7545,19560649,18950412,0.9688,580375792
2026-02-10,313633752,237284578,0.7566,19759477,19236967,0.9736,590307743
2026-02-11,319020604,241046337,0.7556,19872492,19302926,0.9713,599640039
